ctx,run,predicted_per_second,load_time_s
24000,1,42.853046418511056,4
32000,1,41.566159839572315,5
50000,1,41.19491549564276,4
64000,1,42.268600769918066,4
80000,1,42.596578679052904,4
100000,1,17.459945677279652,5
24000,2,41.478066486693045,4
32000,2,41.6586710086229,4
50000,2,41.06808476802212,4
64000,2,41.90382448181909,4
80000,2,41.36974340196603,4
100000,2,16.572526488715344,4
24000,3,40.907662701524636,4
32000,3,39.6548676560978,4
50000,3,41.536588652999356,4
64000,3,41.24844111609506,4
80000,3,40.957356420501334,4
100000,3,16.1729027831329,4
